station_id,fecha,prec,prcp
8416,2018-08-28,Ip,
8416,2019-01-19,Ip,
8416,2019-04-25,Ip,
8416,2019-05-02,Ip,
8416,2020-01-23,Ip,
8416,2020-03-02,Ip,
8416,2020-04-07,Ip,
8416,2020-04-10,Ip,
8416,2020-04-17,Ip,
8416,2020-04-22,Ip,
8416,2020-05-25,Ip,
8416,2020-06-16,Ip,
8416,2020-06-24,Ip,
8416,2020-07-09,Ip,
8416,2020-08-12,Ip,
8416,2020-09-15,Ip,
8416,2020-09-16,Ip,
8416,2020-09-23,Ip,
8416,2020-10-10,Ip,
8416,2020-10-21,Ip,
8416,2020-12-04,Ip,
8416,2021-01-21,Ip,
8416,2021-02-08,Ip,
8416,2021-02-22,Ip,
8416,2021-03-01,Ip,
8416,2021-03-02,Ip,
8416,2021-03-09,Ip,
8416,2021-05-02,Ip,
8416,2021-05-10,Ip,
8416,2021-05-27,Ip,
8416,2021-06-14,Ip,
8416,2021-07-15,Ip,
8416,2021-08-09,Ip,
8416,2021-08-10,Ip,
8416,2021-08-15,Ip,
8416,2021-09-13,Ip,
8416,2021-09-23,Ip,
8416,2021-10-09,Ip,
8416,2021-10-27,Ip,
8416,2021-11-27,Ip,
8416,2021-12-07,Ip,
8416,2021-12-18,Ip,
8416,2021-12-24,Ip,
8416,2021-12-26,Ip,
8416,2022-02-04,Ip,
8416,2022-02-05,Ip,
8416,2022-02-27,Ip,
8416,2022-03-05,Ip,
8416,2022-03-12,Ip,
8416,2022-03-14,Ip,
8416,2022-03-31,Ip,
8416,2022-04-04,Ip,
8416,2022-07-06,Ip,
8416,2022-07-25,Ip,
8416,2022-09-24,Ip,
8416,2022-09-29,Ip,
8416,2022-10-11,Ip,
8416,2022-10-20,Ip,
8416,2022-10-21,Ip,
8416,2022-10-22,Ip,
8416,2022-11-03,Ip,
8416,2022-11-18,Ip,
8416,2022-11-27,Ip,
8416,2022-12-04,Ip,
8416,2022-12-30,Ip,
8416,2023-01-02,Ip,
8416,2023-01-29,Ip,
8416,2023-02-27,Ip,
8416,2023-04-22,Ip,
8416,2023-04-28,Ip,
8416,2023-04-29,Ip,
8416,2023-05-09,Ip,
8416,2023-05-11,Ip,
8416,2023-05-13,Ip,
8416,2023-05-22,Ip,
8416,2023-06-02,Ip,
8416,2023-07-02,Ip,
8416,2023-07-07,Ip,
8416,2023-07-22,Ip,
8416,2023-10-14,Ip,
8416,2023-10-15,Ip,
8416,2023-10-19,Ip,
8416,2023-10-29,Ip,
8416,2024-01-09,Ip,
8416,2024-01-16,Ip,
